QueryResult

# Config entry for catalogue:
serv_type: local
symbol: {PA A_I B_I AREA} {ellipse white {double($B_I)/double($A_I)} {($PA)} {} {}} {{sqrt(7.0*$AREA*double($B_I)/(22.0*double($A_I)))} {}}
# End config entry

# CURSA extensions for info and readability:
#column-units: none 	DEGREES{IHMS.3}	DEGREES{+IDMS.2}	mas/yr          	mas/yr          	mas/yr          	mas/yr          	magnitude       	magnitude       	magnitude       	magnitude       	pixels          	0.01 micron     	0.01 micron     	degrees         	                	sigma           	                	                
#column-types: INTEGER	DOUBLE	DOUBLE	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER	REAL	INTEGER	INTEGER
#column-formats: I6	F11.7	F11.7	E12.4	E12.4	E12.4	E12.4	F7.3 	F7.3 	F7.3 	F7.3 	I9   	I7   	I7   	I3   	I2   	F8.3 	I6   	I10  

id	ra	dec	MU_ACOSD	MU_D	SIGMU_A	SIGMU_D	B_J	R_1	R_2	I	AREA	A_I	B_I	PA	CLASS	N_0_1	BLEND	QUALITY
000075	 11.0741672	 61.3329559	  0.2160E+00	  0.1668E+01	  0.2941E+01	  0.2487E+01	   15.532	   14.567	   14.486	   14.315	      209	   6644	   6304	 16	 2	  -0.366	     0	         0
000076	 11.2827703	 61.3329834	 -0.4850E+02	 -0.2346E+02	  0.7827E+01	  0.7929E+01	   21.388	   19.204	   20.260	   19.546	       20	   2572	   2108	137	 2	  -2.027	     0	         0
000077	 11.2360450	 61.3330172	  0.9556E+02	  0.1555E+03	  0.8522E+02	  0.8593E+02	   99.999	   99.999	   21.044	   20.179	       15	   2820	   1627	 73	 2	   1.743	     0	         0
000078	 11.0835139	 61.3330722	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.717	        8	   3183	   1293	 98	 2	  -0.359	     0	         0
000079	 10.8915455	 61.3332848	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.454	       10	   2036	   1306	 49	 2	  -2.356	     0	         0
000080	 11.1720628	 61.3332853	  0.9283E+01	 -0.1151E+01	  0.8000E+01	  0.8091E+01	   22.126	   19.369	   19.333	   18.198	       67	   6329	   3065	 58	 1	   6.523	     0	         0
000081	 10.8088127	 61.3334079	 -0.2952E+03	  0.4618E+03	  0.5910E+02	  0.5918E+02	   99.999	   99.999	   20.872	   19.267	       22	   6194	   1936	158	 1	   8.468	     0	         0
000082	 10.9831683	 61.3334263	 -0.3283E+01	 -0.3093E+01	  0.8646E+01	  0.8753E+01	   21.038	   19.938	   19.843	   19.061	       36	   4143	   2997	 15	 1	   3.601	     2	         0
000083	 11.0249673	 61.3335082	 -0.4791E+00	  0.5002E+01	  0.3800E+01	  0.3658E+01	   20.105	   18.373	   18.543	   17.475	       83	   4622	   3719	164	 2	   1.116	     0	         0
000084	 11.2854007	 61.3335793	  0.6519E+02	  0.3432E+02	  0.7822E+01	  0.7916E+01	   21.443	   19.204	   20.207	   19.499	       25	   3158	   2104	 39	 2	   0.449	     0	         0
