,DEGREES{IHMS.3},DEGREES{+IDMS.2},mas/yr          ,mas/yr          ,mas/yr          ,mas/yr          ,magnitude       ,magnitude       ,magnitude       ,magnitude       ,pixels          ,0.01 micron     ,0.01 micron     ,degrees         ,                ,sigma           ,                ,                
,DOUBLE,DOUBLE,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,INTEGER
,F11.7,F11.7,E12.4,E12.4,E12.4,E12.4,F7.3 ,F7.3 ,F7.3 ,F7.3 ,I9   ,I7   ,I7   ,I3   ,I2   ,F8.3 ,I6   ,I10  
id,ra,dec,MU_ACOSD,MU_D,SIGMU_A,SIGMU_D,B_J,R_1,R_2,I,AREA,A_I,B_I,PA,CLASS,N_0_1,BLEND,QUALITY
78,11.0835139,61.3330722,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.717,8,3183,1293,98,2,-0.359,0,0
79,10.8915455,61.3332848,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.454,10,2036,1306,49,2,-2.356,0,0
80,11.1720628,61.3332853,9.283,-1.151,8,8.091,22.126,19.369,19.333,18.198,67,6329,3065,58,1,6.523,0,0
81,10.8088127,61.3334079,-295.2,461.8,59.1,59.18,99.999,99.999,20.872,19.267,22,6194,1936,158,1,8.468,0,0
82,10.9831683,61.3334263,-3.283,-3.093,8.646,8.753,21.038,19.938,19.843,19.061,36,4143,2997,15,1,3.601,2,0
83,11.0249673,61.3335082,-0.4791,5.002,3.8,3.658,20.105,18.373,18.543,17.475,83,4622,3719,164,2,1.116,0,0
84,11.2854007,61.3335793,65.19,34.32,7.822,7.916,21.443,19.204,20.207,19.499,25,3158,2104,39,2,0.449,0,0
85,11.1807563,61.3336457,29.18,-40.05,52.03,52.24,22.186,99.999,20.651,19.934,19,2721,2141,98,2,1.209,0,0
86,10.9303863,61.3338159,87.16,66.76,5.852,5.857,21.505,99.999,20.124,18.733,41,4091,2861,133,1,2.903,1,0
87,11.0615186,61.3338749,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.751,8,2104,1291,83,2,0.61,0,0
88,11.2290629,61.33397,1.229,5.561,4.143,4.052,20.504,18.667,18.787,17.778,61,3784,3410,45,2,-0.565,0,0
89,11.0329292,61.3339763,-4.226,-3.509,8.129,8.231,21.551,19.508,19.959,18.538,46,4196,2945,15,1,2.911,0,0
90,10.8304602,61.3340021,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.119,10,3604,1056,159,1,1.253,0,0
91,11.3069548,61.3340095,-0.02052,11.72,6.963,6.906,21.852,20.432,19.608,19.272,31,3154,2739,170,2,1.373,0,0
92,10.9195316,61.3340124,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.624,10,2658,1285,27,2,1.291,0,0
93,10.9834835,61.3341711,16.05,57.56,8.586,8.688,21.038,19.938,20.589,18.926,40,4609,3090,18,1,4.987,1,0
94,11.2551749,61.3341923,16.96,3.893,7.496,7.479,21.436,20.616,19.876,19.123,30,3853,2349,126,1,3.045,0,0
95,11.3006574,61.3342003,1.047,-0.3217,3.46,3.356,19.128,18.1,17.944,17.405,83,4133,3992,5,2,-0.048,0,0
96,10.9401805,61.3342989,-10.77,8.815,9.075,9.266,99.999,20.354,20.15,19.008,33,4116,2518,99,1,3.879,0,0
97,10.8011041,61.334386,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.518,8,2549,984,168,1,-1.292,0,0
98,10.9541979,61.3343963,-1.015,-0.2953,5.682,5.629,20.804,19.577,19.407,18.58,51,3714,3314,175,2,1.801,0,0
99,10.9659074,61.3345023,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.007,13,3699,1460,163,1,1.812,0,0
100,11.149294,61.3345309,-0.4358,2.795,5.092,5.047,20.728,19.319,19.213,17.923,71,4033,3785,167,2,1.978,0,0
101,11.2574839,61.3347257,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.573,8,1613,1408,136,2,-2.214,0,0
102,10.9219999,61.334834,-4.927,1.958,5.769,5.706,21.142,19.614,19.629,18.6,45,3480,3028,12,2,0.397,0,0
103,10.85491,61.3349251,0.8557,-11.06,3.324,3.172,19.161,17.906,17.925,17.492,82,4552,4073,19,2,0.949,0,0
104,11.2340792,61.3350506,0.06497,-4.712,6.181,6.074,21.132,19.808,19.73,18.93,40,3375,2797,107,2,1.223,0,0
105,11.2939206,61.335234,195,-305.2,112.9,115.9,99.999,99.999,21.098,20.138,8,2953,1044,156,1,1.571,0,0
106,11.160956,61.335317,-0.3842,0.8526,3.044,2.53,15.135,14.139,14.077,13.751,254,7474,6932,13,2,1.042,0,0
107,10.8679431,61.3355852,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.755,8,2054,1648,90,2,1.137,0,0
108,10.9112662,61.3356459,652.2,-436.5,51.16,51.06,99.999,99.999,20.948,19.756,22,2804,2326,131,2,-0.384,0,0
109,11.2076469,61.335749,23.03,-0.347,98.9,99.66,99.999,99.999,21.321,19.531,20,3344,2230,169,1,2.338,0,0
110,11.2750388,61.3358424,135.6,167.4,101.8,103,99.999,99.999,21.461,19.697,18,3629,1892,142,1,3.117,0,0
111,11.1104051,61.3359565,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.484,11,2453,1650,104,2,1.528,0,0
112,11.1840537,61.3359656,-1.124,5.466,7.382,7.352,99.999,20.379,19.741,18.694,46,5628,3984,38,1,10.9,0,0
113,11.2249817,61.3360115,-12.1,26.76,7.575,7.488,22.009,20.796,19.768,18.866,39,4764,2691,166,1,4.915,0,0
114,11.3135702,61.3360521,-1.962,-118.8,88.02,89.49,99.999,99.999,20.284,20.122,15,2366,1981,50,2,0.327,0,0
115,11.0000557,61.3361031,69.52,-8.154,88.26,88.96,99.999,99.999,21.235,20.294,12,2402,1301,162,2,-1.428,0,0
116,10.966403,61.3363008,-6.566,2.86,4.304,4.258,19.947,18.787,18.726,18.007,59,3838,3177,44,2,-0.481,0,0
117,11.2584482,61.3364813,3.925,-3.266,5.579,5.485,20.243,19.447,19.187,18.199,58,4923,3078,72,1,2.84,0,0
118,10.9079424,61.3365363,-194.9,7.755,59.31,59.23,22.132,99.999,20.38,19.102,28,4447,1958,86,1,4.285,0,0
119,11.0912689,61.3365563,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.3,11,2494,1246,20,2,-2.781,0,0
120,10.9784013,61.336699,1.183,-6.453,8.333,8.47,21.938,19.972,19.718,19.45,27,3186,2150,82,2,0.671,0,0
121,10.9149274,61.3367723,244.9,-55.45,104,105.2,99.999,99.999,21.284,20.304,8,1593,1329,135,4,-3.919,0,0
122,11.1023373,61.3368382,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.553,8,2223,1002,36,2,-1.765,0,0
123,11.0699898,61.3368881,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.291,8,2677,1070,123,1,0.996,0,0
124,11.0468016,61.3372347,1.743,6.683,6.576,6.475,21.944,19.97,20.334,19.297,31,3013,2635,116,2,0.737,0,0
125,11.1638472,61.337327,107.1,-12.01,100.7,103.4,99.999,99.999,20.987,20.619,8,1859,1251,74,2,-1.717,0,0
126,11.2178513,61.3375355,-1.734,-9.621,6.529,6.441,21.846,19.906,19.792,18.48,48,5539,2657,42,1,3.843,0,0
127,11.0514334,61.3377343,2.794,-1.608,4.498,4.449,20.096,18.902,18.737,17.866,75,4496,3685,119,2,2.36,0,0
128,11.3200469,61.3378747,-14.46,7.584,4.663,4.66,18.912,17.842,18.293,17.809,63,3767,3552,101,2,-0.348,0,0
129,11.143408,61.3380775,36.75,12.12,50.43,50.52,21.866,99.999,20.799,19.919,19,2555,2100,130,2,0.965,0,0
130,11.061278,61.3382872,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.98,11,4055,1748,151,1,4.354,0,0
131,11.1894979,61.3385445,1.919,-11.4,7.467,7.403,99.999,20.689,20.123,19.766,24,3305,2192,104,2,2.028,0,0
132,10.9139384,61.3385565,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.323,8,2731,1054,122,1,-0.447,0,0
133,11.3102757,61.33856,-579.1,-251.4,60.32,61.99,99.999,99.999,21.072,20.638,8,2065,1115,20,2,-0.713,0,0
134,11.3046515,61.3386052,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.457,11,2728,1445,144,2,1.237,0,0
135,11.0942895,61.3386184,-52.1,-21.29,78.22,78.22,99.999,99.999,20.791,19.603,22,2644,2312,80,2,-1.373,0,0
136,10.9481234,61.3389249,17.27,-18.9,2.988,2.487,15.399,14.338,14.348,14.067,211,6732,6600,147,2,-0.15,0,0
137,11.295746,61.3389502,3.969,3.819,3.349,3.201,19.597,18.04,17.654,16.749,95,4692,4217,30,2,-0.385,0,0
138,10.8108754,61.3390516,9.07,3.202,3.981,3.888,20.023,18.534,18.619,17.778,68,3951,3618,86,2,0.613,0,0
139,11.1048755,61.3390699,-76.61,-52.87,81.95,82.65,99.999,99.999,20.969,19.882,18,2584,2065,57,2,-0.402,0,0
140,11.1775947,61.3395065,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.605,8,1879,1330,179,2,-1.511,0,0
141,11.3072493,61.3395231,4.059,-1.496,6.911,6.869,21.932,20.157,20.279,18.727,45,4229,3484,117,1,5.728,0,0
142,11.2117728,61.3395953,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.89,8,3181,1498,18,1,4.12,0,0
143,11.1113579,61.3398784,220.9,430.4,88.7,89.49,99.999,99.999,20.795,18.986,31,4367,2283,14,1,7.284,0,0
144,10.8029874,61.3399809,44.61,13.73,105.6,107.1,99.999,99.999,21.57,20.054,9,2965,1235,2,1,2.045,0,0
145,10.973632,61.340021,-10.7,-52.67,54.5,54.94,21.948,99.999,21.347,20.593,9,2065,1257,174,2,-1.198,0,0
146,11.0369422,61.3403499,-117,-40.02,9.309,9.547,99.999,99.999,20.553,20.33,8,2892,948,132,1,0.578,0,0
